,Title,Text,Status
0,Fraudulent Facebook posts claim the World Bank is giving loans to small businesses in Africa,"Facebook posts inviting small business owners impacted by Covid-19 in Africa to apply for loans from the World Bank through the International Finance Corporation (IFC) have been shared hundreds of times. But the claim is false; the World Bank confirmed to AFP Fact Check that the posts emanated from fraudulent accounts linked to cybercrime attacks targeting the institution.In Kenya, the claim was published on Facebook pages (here and here) registered in the name of the country’s Sports Minister, Amina Mohammed.“World Bank frustrated at low uptake of Covid fund,” read the posts, which have since been removed from Facebook. “The World Bank has complained of the low number of Kenyans applying for the Covid fund which was approved all the way in May. The fund was meant to cushion small businesses against shocks caused by the pandemic but most Kenyans have shied away from applying. Kenyans willing to apply for the fund can do so only through IFC website.”IFC is the International Finance Corporation, a member of the World Bank Group.Mohammed was also cited by Kenya’s People Daily, an online news site, in connection with the purported financing arrangement, while in Namibia, a similar claim was published here by an account created under the guise of the country’s finance ministry, which Facebook’s transparency information shows as being administered from Kenya.Links included in the posts supposedly lead potential applicants to the IFC website and a page with a form where they are invited to fill in their details.While the page appears to be official, on closer inspection the entire website is nothing more than a sophisticated clone of the real thing.Searching the URL provided in one of the posts on GoDaddy, an American internet domain registrar, reveals several suspicious details: the site domain was created on October 16, 2020 – just three days before the first of the false posts was published. Additionally, the domain is also registered in Kenya, while the World Bank has its headquarters in the US.A GoDaddy search of the link supplied in the post targeting Namibians reveals that this URL was registered on November 24, 2020, about a month before the false claim was shared on Facebook. The country of registration is indicated as Canada.The IFC’s authentic website – www.ifc.org – was created in December 1995 and registered to the World Bank in the US.Melissa Bryant, a spokeswoman for the World Bank, dismissed the Facebook posts as “fake”, noting that the fraudulent URLs were part of a larger cybercrime attack on the financial institution.“The stories and their content are inaccurate,” she said in an email to AFP Fact Check. “The World Bank mention originated on fake social media postings and websites that were part of a broader cybercrime attack against the World Bank Group.”Bryant explained that unknown attackers had impersonated the World Bank Group and Kenyan government officials to scam entrepreneurs and small businesses into paying advance fees, also called “processing fees” or “finder’s fees” for non-existent loans.This statement warning the public about the fraud was published on the real IFC website.Sports minister Mohammed’s chief of staff, Rose Wacuka, also told AFP Fact Check that the Facebook accounts linked to the minister were “fake”. Her authentic account can be found here.Mohammed’s page differs from the imposter accounts in notable ways: firstly, her page contains the prefix “Amb” for “ambassador” in the name (Mohammed was formerly a diplomat), which the others don’t.And, secondly, the fake accounts were created on October 19, 2020, and November 28, 2020, coinciding with the days that each one posted the same false claim. Mohammed had her page set up on June 4, 2014.AFP has previously debunked similar loan scams here and here.",1
1,"Photos show Honduran migrants trying to enter Guatemala, not post-election violence in Uganda","A post shared dozens of times on Facebook claims to show violent clashes between civilians and security forces in Uganda following the recent presidential election. The claim is false; the images are of a caravan of Honduran migrants who were blocked by Guatemalan soldiers upon entering the country.“Happening now in Uganda #UgandaDecides 2021,” reads a post published on January 18, 2021.The same claim was shared in other Facebook posts here and here.Tensions during Uganda’s presidential election last week led to the harassment and arrest of opposition members, attacks on the media, a government-imposed internet blackout, and at least 54 deaths, as AFP reported here. The pop-star-turned politician Bobi Wine campaigned to defeat Uganda’s long-serving president, Yoweri Museveni, but was ultimately unsuccessful.Despite poll violence, the images being shared in this Facebook post are not from Uganda.A reverse image search shows the photos were taken in Guatemala by the Spanish news service Agencia EFE; see originals here, here and here.The images depict a large caravan of Honduran migrants who were tear-gassed by Guatemalan soldiers on January 18, 2021, when they entered the country on their journey to the United States.AFP covered the story here.",1
2,These pictures do not show torture scenes of opposition supporters in Uganda,"A Facebook post claiming to show images of tortured supporters of Ugandan opposition leader Bobi Wine has been shared multiple times online. The claim emerged ahead of the presidential election on January 14, 2021, which will see Wine face off against incumbent President Yoweri Museveni. But the claim is false: the images are old and show scenes of police brutality in Nigeria and Zimbabwe.On January 3, 2021, this Facebook post shared three images: two showed three men with their limbs tied and their bodies suspended in the air while a third featured a  man's badly bruised back.According to the post, the men belonged to Wine’s campaign team and were arrested and tortured by the military under Museveni’s orders.The Facebook post, which tagged major international media organisations, reads: “Warning very brutal pictures. This is how #NUP campaign team that was arrested in Kalangala with his excellency Kyagulanyi Ssentamu Robert on orders of dictator Yoweri Kaguta Museveni and Muhoozi Kainerugaba. Are being treated in a Kasijjagirwa military barracks let the world see (sic).”NUP, which stands for National Unity Platform, is Wine’s political party.Facebook added a warning label to two of the images due to their graphic nature.While reports of Ugandan police violating human rights have been rampant in the lead-up to the presidential election, these photos do not show scenes from Uganda.A reverse image search of the tied-up men revealed that the two pictures were from Nigeria and featured in a BBC African Eye documentary titled: “The Torture Virus: Tabay 'rampant' among Nigeria’s security force”. ""Tabay"" refers to a type of torture in which a person's arms are pulled backwards and tied at the elbows, cutting circulation.In the documentary, the scenes are found at 25 seconds and at 6'18 minutes into the clip.A reverse image search of the third picture of a man’s bruised back revealed that it was captured in Zimbabwe during a protest over food and fuel shortages in January 2019. The image was used in major news reports here and here, where it was credited to the news agency Reuters.As reported by AFP, the violent protests erupted after the country’s President Emmerson Mnangagwa announced petrol prices would double. Police were accused of using excessive force during the protests, including by the Zimbabwe Human Rights NGO Forum.Uganda pollsTensions in Uganda are high as the country prepares to go to the polls on January 14, 2021. Pop-star-turned-politician Wine has been arrested multiple times ahead of the ballot and his presidential campaign events disrupted by the police on different occasions.Online misinformation has also been on the rise ahead of the polls. Facebook announced on January 13, 2021, that it was shutting down accounts belonging to Ugandan government officials accused of seeking to manipulate public debate ahead of elections.Museveni, one of Africa’s longest-serving rulers, had the constitution amended for a second time to allow him to run for a sixth term in 2021.Wine, 38, has become a popular opposition figure among youth in a country where the median age is less than 16.Since becoming an member of parliament in 2017, he has been routinely detained and put under house arrest, his concerts have been banned and his public rallies dispersed with teargas.",1
3,This picture shows Italian performance artist Vanessa Beecroft and orphaned Sudanese twins she tried to adopt,"A bogus Facebook post claiming to show a white Australian woman who married a man from South Sudan and gave birth to the “darkest twins ever” has been shared dozens of times online. The claim is false; the image is of Italian-born performance artist Vanessa Beecroft posing with Sudanese twins during the shooting of a film titled: “The Art Star and the Sudanese Twins”.“An Australian woman gave birth to twins and there father is a south Sudanese (sic),” reads one Facebook post from December 15, 2020.Included in the post is an image of a white woman nursing two black babies.The same image appears in another post with a similar claim that reads: “White/ Australian woman married to South Sudanese man, gave birth to darkest twin ever”.The claims, however, are false.The woman in the picture is not Australian, nor is there any evidence that she is married to a South Sudanese man. The babies are not hers either.A reverse image search on Google reveals that the woman is Vanessa Beecroft, an Italian performance artist. According to reports (here and here), Beecroft posed for the picture during a film she was shooting titled: “The Art Star and the Sudanese Twins”.The film follows the artist’s attempt to adopt orphaned Sudanese twins who she met and breastfed during her 2006 trip to Sudan, five years before the country split and the south gained independence. However, the adoption did not go through.Beecroft's work with the twins attracted controversy, and in 2009 she said she received death threats after being accused of exploiting the children. The photograph was exhibited again in 2015 at a German museum exhibition about representations of the concept of charity.",1
4,"This video shows a protest in South Africa, not Bobi Wine supporters in the UK","A video viewed thousands of times has been shared in Facebook posts claiming to show UK-based supporters of Ugandan presidential candidate Bobi Wine being dispersed by police while demonstrating outside their country’s embassy. The claim is false; the people in the video are members of South Africa’s Economic Freedom Fighters (EFF) political party, who were marching against alleged racism at a Cape Town school where a whites-only dance party was allegedly organised.On November 20, 2020, this Facebook post shared a video showing a group of demonstrators being dispersed by police with a water cannon and tear gas. The post claimed that the protesters were supporters of Uganda’s opposition leader Bobi Wine in the UK.“The like minded #NUP_Hooligans abroad carried their stupidity mbu (that) to demonstrate around the Ugandan Embassy in the UK. But hihii.. the tear gas was even coloured and better spiced than the Ugandan one (sic),” reads the Facebook post in part.NUP refer to National Unity Party (NUP), the political party of Bobi Wine, a pop-star-turned-presidential-candidate whose real name is Robert Kyagulanyi.The same claim was shared here and here.Using the video verification tool InVID WeVerify, AFP Fact Check ran a reverse image search on multiple frames of the video and located tweets mentioning that the clip shows a protest by members of South Africa's Economic Freedom Fighters (EFF) political party.On November 20, 2020, there were media reports (here and here) about protests held by members of the EFF at Brackenfell High School against alleged racial discrimination after a “whites-only graduation party” was allegedly organised in October.During the protest, police dispersed the crowd using water cannons and tear gas and pictures captured by AFP allowed AFP Fact Check to spot the exact location where the video was recorded. The site of the drama was also caught on film during a report by local news channel, eNCA.From the recording on Facebook, the running battles with the police took place at a junction in front of brown apartments, across the road from a billboard with  “Kilimanjaro” on it.Going through pictures taken by AFP, we spotted the brown buildings and the Kilimanjaro billboard in two separate images.The captions on the images taken by AFP photographer Rodger Bosch read: “South African Police spray a water cannon towards members of the Economic Freedom Fighters (EFF) during a demonstration against alleged racism near Brackenfell High School, where a whites-only year-end dance party was allegedly organised last month, in Cape Town, on November 20, 2020.”We also spotted a mall called Bracken Manor in another AFP photograph from the same series of shots taken on the day of the protest.On Google Maps, we geolocated the mall to Paradys Street in Brackenfell, a northern suburb town in the Western Cape’s capital of Cape Town where the high school is located.This location also resembles the site of a live broadcast of the protest by eNCA. According to their report, police officers had cordoned off the area to Brackenfell High School, where protesters were aiming to march.On Google Maps, Bracken Manor is about 800 metres from Brackenfell High School.Additionally, while there is no proof in the media of protests that were held in the UK over Wine’s arrest, we located Uganda’s High Commission in the UK on Google Maps and the surroundings have no similarities to the video on Facebook.Last week, there were violent protests in Uganda following Bobi Wine's arrest. At least 37 people were reported dead during the protests pushing for the release of the pop star turned presidential candidate, who is seeking to unseat current President Yoweri Museveni in the January 2021 elections.",1
5,"Hoax tweets falsely claim support from Biden, Obama for Ugandan presidential challenger","A Facebook post shared more than a hundred times claims to show tweets from US president-elect Joe Biden and former president Barack Obama calling for the release of Ugandan opposition politician Bobi Wine who was detained on November 18, 2020. However, the tweets are fake; AFP Fact Check found that neither leader has commented on Uganda's political situation on their official Twitter accounts. Wine was freed on bail on November 20, 2020.On November 19, 2020, this Facebook post shared screenshots of two tweets purportedly published by Biden and Obama on their official Twitter accounts, along with the hashtag #FreeBobiWine.According to the timestamps in the screenshots, Biden tweeted at 8:54 pm followed by Obama at 8:59 pm on November 18, 2020.The tweets appear to have achieved major reach, with more than 2.5 million likes and retweets in total.The Facebook post went up a day after Wine, who is seeking to unseat Ugandan President Yoweri Museveni in next year's scheduled election, was arrested allegedly for violating coronavirus regulations at his rallies. Deadly violent protests followed his detention, as reported by AFP. Wine was released on bail on November 20, 2020.While the US Mission in Uganda condemned the violence, Biden and Obama have made no public statement about the political troubles that have flared in the East African country.A scan of their Twitter accounts reveals that on November 18, 2020, Biden sent out two tweets; one thanking healthcare workers engaged in the fight against Covid-19 and another talking about a US national security meeting he and Vice-President-elect Kamala Harris had with US national security experts.A search of Obama's feed on November 18, 2020, shows there were no tweets that day.While not conclusive since settings can be changed, the fake tweets have been reproduced in dark mode -- unlike the real accounts which use conventional black text on white background.Political tension in Uganda has been rising as the country gears up for a presidential election scheduled for January 2021. AFP Fact Check has already debunked false claims linked to the unrest here and here.",1
6,"This footage of a bustling intersection comes from Vietnam, not Kenya","A video showing motorbikes and vehicles zipping across a busy intersection has been viewed thousands of times on Facebook with the claim that it depicts Kisii, a town in Kenya. The claim is false; the footage, which has been sped up, was actually filmed in a Vietnamese city.“If you have not been to kisii town this is what you are missing,” reads a Facebook post shared more than 1,000 times since September 5, 2020.Kisii is a town located in south-western Kenya.The video is 38 seconds long and shows a busy street scene from overhead, with dozens of motorcycles and cars appearing to drive chaotically across a large intersection.Using the video verification tool InVID WeVerify, AFP Fact Check ran a reverse image search on multiple frames of the video and located the clip in YouTube videos here, here and here, which are described  as showing traffic in Vietnam’s Ho Chi Minh city. These videos show traffic moving at a normal speed, as opposed to the sped-up Facebook clip.A search with the keywords “motorcycle traffic in Vietnam” on Google turned up a similar video which is much clearer and also filmed from the same elevated angle. Visual cues like a petrol station, buildings and an electrical post are evident in both versions of the video.One of the standout features in both videos is a petrol station in the top right with blue and yellow corporate colours. A search of petrol stations in Vietnam revealed that Petrolimex, Vietnam’s liquefied petroleum gas state company, has the exact features.On Google Maps, we examined the different locations of Petrolimex in Vietnam and spotted this one which resembles the petrol station in the videos and is found on Trần Hưng Đạo street.Meanwhile, another video shows the same junction where Trần Hưng Đạo street crosses Nguyễn Văn Cừ street. Evident is a branch of Sacombank, a bank in Vietnam with blue and white branding and below it a restaurant called Jollibee. Both are situated opposite the petrol station and can be seen on Google Maps.Google Street View also reveals that the junction is controlled by traffic lights, meaning the traffic flow is controlled, contrary to the disorderly scene the video on Facebook appears to show because it has been manipulated to increase the speed. This video also shows the same.In contrast, we surveyed different junctions in Kisii town using Google Maps street views and there is no resemblance to the junction seen in the videos.",1
7,"This image of an injured journalist was taken during a protest five years ago, not at a recent rally","Posts claiming to show a Ugandan journalist brutally beaten by police officers during a recent political rally by pop star-turned-politician Bobi Wine have been shared multiple times on Facebook. The claim is misleading; the picture of injured journalist Isaac Kugonza was taken five years ago during a protest. Kugonza told AFP Fact Check that he was scarred for life.“Journalist beaten by Uganda police today for covering bobi wine 's route to his office. MUSEVENI IS EVIL,” reads a Facebook post circulating in Uganda along with two images – one of an injured man on the ground and the other of a camera covered in blood.Another Facebook post carried a similar claim on this page, which is managed in Uganda, the United Kingdom and the United States, according to the social network’s transparency information.Similar claims (including one alleging the wounded man was shot) were shared on Twitter here and here.A reverse image search shows that the image has been online since 2015. It shows shows Ugandan TV journalist Isaac Kugonza lying wounded just moments after police opened fire to disperse a crowd protesting against law enforcement attempts to block Kampala city’s Lord Mayor, Erias Lukwago, from presenting his nomination papers for the mayoral seat five years ago.“I saw the photograph on social media when I was lying on the ground but that incident happened in 2015, not now,” Kugonza told AFP Fact Check.He insisted that an injury to his head was caused by a bullet, although police were quoted in this news report from the time saying that Kugonza was hit with a stone during scuffle.“I was shot in the head and I have a permanent injury. I don't know whether it was targeted at me or it was random and by accident,” Kugonza said in a phone call. “I got healed but the scar has remained and it continues to be a reminder of the shooting.”This video (at 1'06"" minutes) captures the moment when Kugonza, who was by then working for Delta TV, fell to the ground.In this 2016 report by Ugandan multimedia publisher New Vision, another picture from the incident, credited to Rhamadan Abbey, shows Kugonza on the ground, clearly in pain.Kugonza, who now works for local television station NTV Uganda, added: “I stopped going to the field and am now on the desk as editor at NTV/Spark Tv.”On November 3, 2020, presidential candidate Bobi Wine said he was detained, “beaten” and “tortured” by police minutes after he registered his candidacy to challenge President Yoweri Museveni in next year’s election.In televised footage, 38-year-old Wine was seen being pulled by police from his car and thrown into a van after submitting his nomination papers to election officials in the capital Kampala. Wine’s supporters were then violently dispersed.Following the incident, an online campaign under the hashtag #EndPoliceBrutalityInUganda was started, with online users sharing pictures and videos showing incidents of state-sponsored brutality. Some of the visuals were from recent incidents while others were old and unrelated to current events.An AFP correspondent in Uganda told AFP Fact Check that while religious and political leaders in the country have condemned how police handled the opposition presidential candidate, the anti-police brutality campaign has not received “much public participation”.According to a report by the Human Rights Watch, Uganda has a history of police brutality against protesters, which at times has led to fatalities.Political tensions in the east African country are high as the nation prepares for the election on January 14, 2021. Wine will be challenging Museveni, who has been in power for 33 years.",1
8,This is not a real ICC witness statement from a Kenyan lawyer accused of bribery,"A document shared dozens of times on Facebook purports to show a witness statement from Kenyan lawyer Paul Gicheru, who handed himself in to face accusations at the International Criminal Court (ICC) of bribing witnesses in a botched case against Kenyan Deputy President William Ruto. However, this document is not genuine. The ICC, which has not published any witness statement in this case, confirmed it was fake.A document using the ICC’s letterhead was posted on Facebook on November 3, 2020, just a day after Gicheru turned himself in. It is titled: “Witness statement, Paul Gicheru, taken at the International Criminal Court at 02-11-2020 18:05 HRS”.The caption on the Facebook post reads: “Lawyer Paul Gicheru who surrendered to the International Criminal Court yesterday has finally released an ICC witness statement in which he claims that his life is in danger from people within the Kenyan Republic.”The same document was posted on Facebook here on the same day.In the document, “Paul Gicheru” purportedly admits to bribing and influencing witnesses who were going to testify in Ruto’s trial, and claims this was under orders from the deputy president. The document also claims that his life is in “significant danger” and that he requests asylum.Gicheru was wanted under a 2015 arrest warrant by the ICC for allegedly bribing several prosecution witnesses to recant their testimony in the case against Ruto.Cases against President Uhuru Kenyatta and Ruto over post-election violence in 2007-8 collapsed in 2014 and 2016. The ICC dropped charges against Ruto and radio host Joshua Arap Sang in April 2016, with its chief prosecutor blaming a relentless campaign of victim intimidation for making a trial impossible.Fake ICC statementThe purported “witness statement” shared on social media is not genuine.“This document is a fabrication,” ICC spokesperson Fadi El Abdallah told AFP Fact Check. “We urge caution regarding any document purporting to originate from the ICC that is not issued through one of the ICC’s official platforms or confirmed by the Court as being official.”All official documents pertaining to Gicheru’s case are published online in the ICC’s court records, which are available here. For example, on November 2, 2020, a document was published noting that he had turned himself in.The ICC letterhead and the document number at the bottom of the pages were used in the fabricated document published on Facebook the following day.The ICC has published several more official documents related to Gicheru’s case since then, but none of these are witness statements.Gicheru made his first appearance in court on November 6, 2020, as reported by AFP. Court officials read out charges against him of “corruptly influencing” witnesses for the prosecution to recant their testimony.“The allegations read out to me are not true, they are false,” he said, appearing by video link from the court’s detention centre due to coronavirus rules.",1
9,These are old images of Ugandan soldiers in Kampala after the US warned of a terror threat,"A post claiming to show soldiers patrolling Uganda’s Mbarara city a day before popstar-cum-politician Bobi Wine launched his presidential election campaign has been shared multiple times on Facebook. The claim is misleading: the images were taken by an AFP photographer in 2014 after the US warned Kampala of a possible terror threat at Entebbe International Airport.A Facebook post published on November 6, 2020, features two pictures of armed troops in a street and a caption that translates into English as: “That’s what's happening in Mbarara (a city in western Uganda) right now ...”Some online users in the comments appeared to believe that the images were recent and taken in Mbarara city where Wine, a 38-year-old opposition MP whose real name is Robert Kyagulanyi, was expected to launch his official manifesto for the presidential race.However, a reverse image search on TinEye revealed (here and here) that the pictures were captured by an AFP photographer on July 3, 2014.The photos show security forces patrolling the streets of Uganda’s capital Kampala after the US had warned of a threat by an unknown group to attack Entebbe International Airport.“The alert came as travellers flying to the United States from Europe and the Middle East faced tighter security because of new concerns about the development of explosives that could circumvent airport security,” the AFP captions read.AFP covered the story here.Political tensions in the east African country have escalated ahead of national elections on January 14, 2021. Wine will be challenging President Yoweri Museveni, who has been in power for 33 years.Wine has become a popular figure among youth in a country where the median age is less than 16.Since becoming an MP in 2017, he has been routinely arrested and put under house arrest, his concerts banned and public rallies dispersed with teargas.Museveni, one of Africa’s longest-serving rulers, had the constitution amended for a second time to allow him to run for a sixth term in 2021.Wine launched his election campaign on November 7, 2020, in Mbarara amid beefed-up security.The launch came four days after he was detained while registering his candidacy. In televised footage Wine was seen being pulled by police from his car and thrown into a van after submitting his nomination papers to election officials in the capital Kampala. His supporters were then violently dispersed.",1
