,Title,Text
0,"Betty Kyalo, Boniface Mwangi, Kipchoge feted in digital influencer awards","Sports personality Eliud Kipchoge, TV personality Betty Kyalo and Activist Boniface Mwangi have been feted.The three are among 19 personalities feted in the Inaugural 2020 Africa Digital Influencer - ((ADIA20)  Awards.While Kipchoge won the fitness influencer of the Year award, Betty Kyalo won the TV/Online Influencer of the Year award while Boniface Mwangi bagged the Social Good/Warrior Influencer of the Year.Others include Wanjiru Njiru who won the Woman fashion influencer of the year, Kaluhi's kitchen won the Health and  Nutrition Influencer of the Year, Gee Dafunda the Man Fashion Influencer of the Year and Cartoon and Comedia won the Newcomer of the Year.While the Dapper Brother won the Man Lifestyle Influencer of the Year, Wambosha Maxine won the woman category with Joan Kinuthia winning the Beauty Influencer of the year.Blessed Njugush won the content creator of the year with the Cyco Podcast winning the most influencial podcast.Crazy Kennar won the comedian infleuncer of the year category and the go beyond influencer of the year, Papa Shirandula's Jacky Vike won the category of best use of video under Tusker with Falqo Raz winning the catogory of the disruptor of the year.Mohammed Hersi won the category of the most Influential Digital Leader and Edgar Obare won the People’s Choice Award.The event, first of its kind in Africa, featured 20 categories and identified digital influencers who used their talents on digital platforms to inspire and impact the society positively in Kenya and Africa in the year 2020.The awards ceremony was held at Konza Technopolis.Kilome MP  Thaddeus Nzambia said legislators will continue to develop laws that promote the creative industry.While urging fellow lawmakers to look beyond 2022 and make the project a success, the MP said: “I am humbled to be here today for this awards ceremony. As you all are aware, Konza is setting up a media city which will act as a hub in the creative industry. Let us be part of this and support its success.Africa Digital Leadership Principal & Co-Founder  Chris Bitti said the inaugural awards event received massive response and feedback which goes to demonstrate that the creative industry is an area which investors ought to consider.He said  the response inspired them to hold the event at Konza Technopolis which is working towards developing a digital media hub.“For us to choose Konza as a host, we reckon that they have understood that content creation is instrumental in promoting digital transformation and it's really going to fuel a lot of digital growth. Despite Konza being a construction site, a lot of horizontal infrastructure has gone on and this is the future,”  he said.While urging the participants to keep doing the best in their creative spaces to advance the industry to greater levels, Bitti said they look forward to holding the awards on an annual basis in order to improve the industry's standards.“This is an industry that has a lot of potential to employ our young people. Together with our partners, we will do our very best to hold it annually,” he said.On his part, Konza Technopolis Development Authority  CEO John Tanui  used the opportunity to highlight the benefits of Konza's Digital Media City to the creative industry players and urged them to be part of the project.“We are glad to have hosted the ADIA awards in partnership with Safaricom and EABL. At Konza, we have one specific project we are in the process of developing and it is the Digital Media City (DMC) which will comprise of TV broadcasting, animation and gaming, filming and photography, and ICT programming. This is envisioned to drive Kenya’s creative industry to higher levels and also generate investment and job opportunities for our people,” said the CEO.He added:  “Towards this dream, I’m glad to inform you that recently, the Government through the Ministry of ICT, Innovation and Youth Affairs in collaboration with South Korean government launched a feasibility study for the Konza Digital Media City (DMC) project that is being implemented here with the support of Korea-Exim Bank.”"
1,Brown bottle: Why overcoming alcoholism is a struggle,"It's brown, it's colourless, it comes in different colours but the effects of the content in every bottle are quite different.These effects vary from person to person and this is all based on the reason why each individual decides to partake in the new sport called drinking.Ultimately if you were to undertake a survey on the individuals, you would find that a majority drink to get rid of an underlying problem or something that gives them stress. An external force that inflicts pain.There are some that seemingly take away the pain, some that numb the pain, and then there are those that make it feel like you have been placed in a sensory deprivation chamber; you know like the feeling of no gravity, no sense of smell, touch or sight?The hearing is there but to a minimal extent. Overall the lasting effect is what most people struggle to sacrifice for a more sober life.  As advertised, the sober life may not seem all that interesting due to the many challenges we all face on a daily basis, name it; toxic environments, overloaded work, financial issues left, right and center etc.The result of this is overbearing stresses and mental blocks that may lead to even more than just depression and other underlying stress related health issues.Because of this, people seek a way to 'relieve' the stress and one of the most common ways people choose to do this stress relief is dabbling in a little drink.Now don't get me wrong, alcohol is not all that destructive. In fact even in the Bible, Jesus advised that a little wine is necessary every once and a while.The problem comes in overdoing it even biologically the body does well with a little alcohol - wine to be precise - as it aids in the digestion process and many other blood thinning properties (for people with blood vessel clotting problems).But just like everything in life, there is a limit to everything we consume as humans. Ever heard of the phrase 'too much of anything can be poisonous'?I don't want to sit here and outline the result of over drinking because I'm sure a lot of us have had one or two or more odd defying instances where things would have gone horribly wrong due to over consumption of this ethanol based beverage, not to mention all the things that did go wrong. Nobody seeks to have a bad experience after a little pint, but because of the challenges we all go through, we feel like it is important to stretch the limits upon which our livers can synthesize the drink. But did you know that you can solve everyday issues, or even deeper problems without the need to get intoxicated or being in an altered state? I learned that seeing eye to eye can be fixed with a heart to heart, if all the relevant parties are willing to listenOf course in cases where the individual is drinking to seek fun or seek a sense of belonging by partaking because their friends are drinking, then for these two I would say FIND YOURSELF.Sheryl*, has struggled with the bottle for a very long time and she says she can't even begin to explain how it got so bad.""I honestly can't tell you when I started drinking heavy. Maybe I saw the signs before but preferred to ignore them or I was really into just drinking for fun. But I found myself in a bad place,"" Sheryl explained.She said it got so bad to a point she would drink a bottle a day.""It started with a few shots, a bottle of beer and before I knew it, I was drinking a bottle a day. It was really bad.""Sheryl says it all came to light one day and she decided to start a journey to recovery. ""One morning I decided to tell my family about what I was going through and I was very much surprised  with how they took the news. But the highlight of the day was when I had a sit down with my dad.""We had a deep conversation and he vowed to be by my side as I start my road to recovery and I must say he has never let me go even after going eight months without drinking,"" Sheryl said. One of the greatest joys in life is being able to accept yourself and accept your circumstances in life.It doesn't matter the hand you've been dealt, when life gives you lemons...you know the rest. Glass half full kind of mentality. This simple basis of thinking is what can help a lot of people put down the bottle.How you may ask? Well, if you're drinking from peer pressure, then maybe you need to check your peers. Make the necessary change.If you drink because you seek fun then my advice would be to look for fun in adrenaline fueled activities such as bungee jumping, mountain climbing, zip lining, paintballing, go karting, rock climbing, deep sea diving, wild life exploring and the list is endless. You'd be surprised what your body can do.There are soo many ways to find fun in this world without seeking it from the bottom of a bottle.For those that are trying to numb some sort of pain or get rid of certain stresses involved in their life, it is quite as simple as changing the environment you are surrounded by.It is considered very difficult to change your surroundings or uproot your life, but in some cases the hardest step to take are the most uplifting or stress relieving ones that we could ever meet in life.Stress is relieved for a longer period than with that of the two hours or so that alcohol affords, which is then exited into a toilet a few moments later. All this may be easier said or done, but at the end of the day, each individual must be the one to take the steps required to change life for the better.This simple statement is the main reason why struggles of letting go of the bottle exist.Everybody seeks an escape, a way to envision the life that fantasies are made of.In reality, if you can dream it, you can achieve it. One must be resilient and hopeful enough to see the journey to the end instead of seeking shortcuts and shrewd deals to try and improve their life.And then because the lack of the expectations being met, small onset depression creeps in, and that may be the deep seated reason why people seek comfort, friendship, a relationship, whatever it may be; through the bottom of the bottle."
2,"Ugandan elections, Mighty Salim and Larry King top Google searches","Ugandan Elections and the deaths of renowned ‘Mugithi’ musician Mighty Salim and American television and radio host Larry King dominated Search queries by Kenyans in January 2021, Google has established.In the trending personalities, the deaths of renowned ‘Mugithi’ musician and American media personality Mighty Salim and Larry King respectively, sent Kenyans looking for details about them on Google search.Jack Ma and Museveni were among the top trending living personalities searched in January.Jack Ma was third in the list after the media reported that he had gone missing, causing speculations over his whereabouts.Uganda’s president Yoweri Museveni closed the trending personalities by Kenyans in January.He was declared the winner after the heated campaigns marked by a crackdown on the opposition, an internet blackout and accusations of vote tampering and rigging.The love for football continues to preoccupy Kenyans with the FA Cup amongst the top 10 searches in January.Well, Ugandan Elections topped January Search Trends as Kenyans were interested in this year’s election since the country is Kenya’s closest neighbour and a trading partner.They were curious to get information about the campaign trails and what was happening after the government decided to shut down internet access across the country for days, restricting access to social media sites.Coming second in the trending list is FA Cup. Kenyans’ love for football continued as they searched to know when matches were being played, the results and the teams that qualified to the next round.Mpesa Charges 2021 emerged as the third trending search query. Kenyans looked for the updated figures after Safaricom announced changes to MPESA charges after a waiver on mobile money transaction fees under Sh1,000 lapsed.At number four trending query was KWS Shortlisted Candidates. Kenyans searched to find out if they were among the 90,057 candidates shortlisted for the Kenya Wildlife Service (KWS) Community Scout positions.The scouts will assist in wildlife conservation efforts as part of the National Government post-COVID-19 economic stimulus program announced by the President on 23 May 2020.The British spy thriller television series, Killing Eve, closed the top 5 trending searches by Kenyans in January.This was after Lawrence Warunge, a university student who allegedly killed 5 family members in Kiambu, stated that he was inspired by the series.Sixth trending search query fell on Georgia Election Results, after run-offs were conducted in the U.S. state.The election was considered to be a determinant of the control of the US Senate and, in turn, the fate of the then US President-elect Joe Biden’s legislative agenda.The football craze among Kenyans continued in the month with the EPL Table 2021 appearing at position seven.Fixtures kept changing with some matches being postponed due to COVID-19, and Kenyans wanted to be up-to-date with the standings of the English League.Now, Trump Impeachment was quiet a topic discussed but trending wise, it fell at eighth position, after the House of Representatives voted for his impeachment.He was accused of inciting a riot during the certification of the Presidential election when a mob stormed the Capitol building. Kenyans searched to know the proceedings of the impeachment.The images and selfies of the current Minister of Water Affairs in Sudan left many internet users in stitches. Kenyans turned to Search to confirm if the images circulating were truly of the minister, placing him in the ninth position of the trending search queries.Closing out the top ten trending search queries in January 2021 was the KDF Recruitment 2021 Dates.KDF announced the recruitment of General Service Officer (GSO) Cadets and Specialist Officers General Duty Recruits, Tradesmen/Women and Defence Forces Constables into the Kenya Defence Forces.Kenyans turned to search to check on the requirements for the advertised positions and the recruitment dates showing that jobs are needed."
3,Uhuru leads Kenyans in mourning former minister Nyachae's death,"President Uhuru Kenyatta has joined leaders in mourning former Cabinet minister Simeon Nyachae who died on Monday.In a statement released from the Sagana State Lodge on Monday, the President said Nyachae's successful transition from public service to the world of business and politics was a demonstration that focus and hard work pay.Uhuru said his death has robbed Kenya of a wise statesman whose long service to the nation helped shape the country's standing as one of Africa's most progressive economies.“I am deeply saddened by the passing away of Mzee Simeon Nyachae, a distinguished son of Kenya, a friend and a man whose contribution to the making of the Kenyan nation will remain with us for eternity,” Uhuru said.He added that ""Throughout his many years of service to the nation, right from his time in the provincial administration through to his transition into business and politics, Mzee Nyachae exhibited exemplary zeal to succeed and as he exits from this world, he leaves behind a rich legacy of success.”Uhuru recalled his interactions with Nyachae over the years, saying the former Nyaribari Chache MP was a jolly, accessible, and dependable elder whose wise counsel and friendship he will miss.""I recall with nostalgia my many interactions with Mzee Nyachae over the years. As an elder and friend, Mzee Nyachae always had a word of wisdom and encouragement for me. Many will remember and miss Mzee Nyachae's warm personality and especially his hearty and infectious laughter.”Deputy President William Ruto said Nyachae was a progressive, selfless and steadfast leader who was genuinely passionate about public service, politics, and uniting people in a common cause.“He was a passionate, indefatigable, and forthright operator whose affable disposition and wit earned him friends and foes alike. He was a philanthropist, who took pleasure in helping the needy in society,” Ruto said.ODM leader Raila Odinga lauded Nyachae's long-serving career as a civil servant adding that the Abagusii community has lost one of its most illustrious sons.Nyachae passed away on Monday at Nairobi Hospital aged 88 years.""He has rested after a fairly long illness. We want to thank and appreciate Mzee's life and what he has been able to do,"" his son and former CIC chairman, Charles Nyachae, said."
4,Unrest in schools likely fuelled by drug abuse — Nacada,"The cases of unrest in schools might be a result of drug abuse among learners, the National Authority for Campaign against Alcohol and Drug Abuse has said. The agency on Monday said their claim was not based on recent evidence but previous surveys in learning institutions unearthed rampant substance abuse. Nacada board chair Mabel Imbuga said a national survey carried out in June 2018 found that 20.2 per cent — one in five — of primary school pupils have ever used at least one drug or substance in their lifetime.The survey, ‘Status of Drugs and Substance Abuse among Primary School Pupils in Kenya’ also found that 16.9 per cent of learners were using at least one drug or substance of abuse.It further revealed that 3.2 per cent of primary school pupils were using tobacco, 2.6 per cent were on alcohol and 2.3 per cent chewing miraa or muguka.“This data points to the need for an urgent concerted effort aimed at preventing additional statistics among school-going children as one of the ways through which to curb this menace,” Imbuga said.The survey showed students found drugs in kiosks or shops near the school (28.6 per cent) and bars (25.7 per cent).More than 19.3 per cent got the drugs from friends, 13.7 per cent from other students while 13.6 per were supplied by school workers.Imbuga said tackling alcohol and drug abuse should involve both state and non-state actors. Ministries of Interior, Health and Education, Nacada, counties, parents and guardians must all come on board, she said. “Parents have a responsibility to nurture their children positively and those who choose to raise their children in a home where addiction is prevalent and even considered normal, can end up harming them in various ways,” she said.“Children look up to their parents for guidance in all ways and when a parent’s judgment is affected by substance abuse, they can not only cause a mental, physical, and emotional disturbance, but they can also severely alter or hamper their child’s development in all these stages.”Imbuga said Nacada offers school-based programmes which have resulted in a tremendous improvement in awareness levels on the dangers of drug abuse. The agency also runs family programmes focusing on positive parenting and strengthened communities.“In line with the Covid-19 prevention protocols established by Ministry of Health, we have embarked on media-driven campaigns to reach out to schools and engage them on prevention initiatives,” he said.Nacada called on schools’ boards of management to establish guidance and counselling departments or have chaplains to support learners and prevent their initiation into drug use.“In the meantime, we invite affected schools, churches and other institutions to liaise with us through our regional offices for support and inclusion into our school-based programmes,” she said. Imbuga said the agency is ready to work with and support any institutions requiring help in alcohol and drug abuse prevention and treatment.(edited by o. owino)"
5,[UPDATE] Mwilu gets reprieve as court halts order barring her from office,"Acting Chief Justice Philomena Mwilu has received temporary reprieve after a court issued stay orders against the enforcement of a ruling barring her from office until February 12.Mwilu's lawyers on Monday filed a suit seeking to set aside an order stopping her from discharging her duties.The application was certified as urgent by the deputy Registrar of the High Court in Meru.The stay orders will be enforce until February 12, which is the date set for the hearing of the application.Justice Mwilu had said the order stopping her from work amounts to judicial terror and one given without benefit of relevant and material facts before the court.“The drastic orders obtained ex parte are an egregious act of judicial terror and oppression obtained fraudulently and illegally through non disclosure of relevant and material facts and are inimical to the rule of law and fair and constitutional administration of justice,” said justice Mwilu.She questioned the motive behind filing the case against her before Meru court when all the parties involved reside in Nairobi.Judge Jeremy Otieno sitting in Meru on Friday made four decisions against justice Mwilu, effectively suspending her as Deputy Chief Justice, Judge of the Supreme Court, a member of the Judicial Service Commission and Ombudsman of the Judiciary.This also means that justice Mwilu will cease to act as CJ and chairperson of the JSC, twin powerful roles she took over following Maraga’s retirement a fortnight ago.The conservatory order issued in Meru was made following an application by Mbiti who cited four abuse of office charges pending against Mwilu at the JSC.In court, Mbiti argued that Mwilu’s continued performance of any constitutional duties while facing graft allegation reeks of favoritism and offends the tenure, ideals and spirit of Chapter Six of the Constitution.“She ought not to then enjoy preferential treatment because she is a Judge. The standard applicable to Mwilu in as far as Chapter Six of the Constitution is concerned is the standard applicable to all Kenyans. To this end, Chapter Six of the Constitution considers integrity beyond the extra-legal context into the realms of public perception, respect and honor,” he statedHe termed absurd, Mwilu’s continued stay as a member of the JSC, hearing and determining complaints against other Judges when she also has pending petitions against her.Mwilu has four pending petitions against her at the JSC, including one filed by the DPP and the DCI.In 2018, DPP Noordin Haji moved to court to charge Mwilu for abuse of office, obtaining security by false pretense, failure to pay tax and forgery.However,  a five-judge bench terminated her prosecution saying charging her with abuse of office and forgery counts violated judicial independence, and that evidence in another five counts had been illegally obtained.It was after the court battle that the case was referred to the JSC.And as Justice Mwilu kept away from office commissioner Mercy Deche who is representative of lawyers on Judicial Service Commission (JSC) is reported to have stepped in to take charge. Deche is the vice chair of the JSC.Deche’s term at the JSC is expiring in March and the lawyers will have to elect a new representative."
6,Britam's Wairegi hands over leadership to Tavaziva Madzinga,"Tavaziva Madzinga has taken over as Britam's Group Managing Director, effective February 1 2021.He took over from Benson Wairegi,  who formally handed over the company’s reins of leadership to him.Wairegi led Britam’s forays into the region, driving the now largest life insurance firm into six other East, Central and Southern Africa markets. He retired on December 31st, 2020. “I am delighted to handover to you the overall management of Britam Holdings Plc. You can count on my support and I am confident that you will lead the company into new frontiers,"" Wairegi said.Madzinga, thanked Wairegi for his long and enduring service but also for his personal contribution to the development and growth of the insurance industry in Kenya and the region.“I feel privileged and appreciate the board’s confidence and support. The detailed handover and transitioning plan in place will enable me tap into Wairegi’s vast experience,"" he said.""I look forward to working closely with the staff, management and the board together with our partners and clients to chart the next course for Britam in the years to come.""Madzinga is an Actuary, holder of a Bachelor of Science Degree from the University of Cape Town and has attended INSEAD Business School, France and Harvard Business School.He has over 20 years’ experience in the Insurance industry and has served in various capacities which include Chief Executive Officer Swiss Re (UK & Ireland), Managing Director, Swiss Re Middle East & Africa, Regional Chief Executive Officer South & East Africa Old Mutual.He worked for Swiss Re for 3 years and at Old Mutual for 16 years which included being Chief Executive Officer in Kenya."
7,DCI probes suspected murder of Bungoma county worker,"DCI detectives based in Bungoma's Cheptais sub-county are probing the suspected murder of a 39-year-old woman who was found dead in her house on Sunday evening. ""Suspicion as to the safety of the deceased, Sarah Kimarong, started when her brother's attempt to reach her on phone proved futile, and a visit to her house was met with a padlock to the outside,"" DCI said. Detectives who acted on the report, broke into the house only to find her body lying undressed in a pool of blood, with signs of strangulation and knee injuries.""As the body of the deceased, who has been working at the Deputy County Commissioner's offices awaits autopsy, detectives have initiated investigations into the appalling incident,"" DCI added.DCI asked that should anyone have information that may assist in the arrest of the perpetrator(s), to share it by dialing the toll-free hotline number 0800 722 203.Last month, a woman was gang-raped and sodomised then her private parts mutilated in Wataalam area near Ruiru town.The 28-year-old mother of a five-month-old infant arrived late in the area where she had gone to visit a relative. She was attacked at about 11 pm.The criminals, after gang-raping her, mutilated her private parts with a sharp object that is suspected to be a knife. They then left her for dead. She also had a deep cut in the forehead.Residents found the woman lying unconscious in a pool of blood on Wednesday morning. She was rushed to a local dispensary for first aid. She was later taken to Ruiru Level 4 Hospital by a community health volunteer identified as Zeitun Adan."
8,"'Fighter, powerful': This man Simeon Nyachae","Powerful, influencer and a fighter.These are some of the words used to describe former powerful Cabinet minister Simeon Nyachae even though most of his enemies described him as arrogant, dictatorial, overbearing and self-righteous.Nyachae, who was a shrewd businessman and entrepreneur, died on February 1 at the Nairobi Hospital after battling an illness for 10 years.Last month, there were rumours that the former minister had passed away which his son, Charles Nyachae, dismissed.But who exactly was this man?Born in Nyaribari, in Kisii County on February 6, 1932, the fiery speaker’s career began around 1960 when he was posted as a district officer in Kangundo division. POLITICSBy December 1963, Nyachae became a District commissioner before he went to provincial administration work in 1964.It is at this time that he rose steadily in ranks before becoming a chief secretary in Civil Service under the Kenyatta and Moi governments between 1965 to 1979.On his retirement from the civil service, Nyachae became one of the richest and most prominent personalities from Kisii.During his tenure, he came up with the now-famous District Focus for Rural Development programmes to curb rural-urban migration.Nyachae later vied and won a parliamentary seat in Nyaribari Chache constituency in 1992.With this, he was able to enter into the Moi government as a powerful Cabinet minister first for Agriculture, then in 1998 for Finance.RUSTY RELATIONSHIPHe was appointed to the Ministry of Finance in 1998 but quit the government a year later when he was transferred to what he felt was the less prominent ministry, he was to become the Industrial Development Minister.In 1998, Nyachae fell out with Moi after the former told Kenyans that their economy must be put into ‘intensive care’. He also waged a highly public battle against corruption, by reporting the names of prominent Kenyans who had not repaid bank loans.A few months later, in February, Nyachae was sacked. This made him leave his party Kenya African National Union also known as Kanu to join the Opposition Ford People.Nyachae, who was known for pomp and colour, later launched his presidential bid in Nairobi on the ticket of Ford People.His party was overshadowed by a bigger opposition rival, the National Rainbow Coalition, which picked Mwai Kibaki as its candidate.Since quitting the government, Nyachae had been quite open about his ambition as he felt under-appreciated.Reports indicated that his colleagues ignored his suggestion that the opposition presidential candidate should be elected by a popular vote involving delegates from all opposition parties.The Opposition later chose Kibaki and blocked Nyachae's presidential ambitions.Nyachae, who still ran for the 2002 presidency on a Ford-People ticket, emerged third after Narc's Kibaki and Kanu’s Uhuru Kenyatta.Later, Nyachae was appointed to head the Roads and Public Works docket under the Kibaki administration.After the 2007-08 post-election violence, Nyachae’s name appeared in the Waki report as one of the masterminds. Over 1,500 people were killed during the skirmishes that left thousands displaced.The 88-year-old Nyachae then retired from active politics in 2007 after he failed to clinch the Nyaribari Chache parliamentary seat.FAMILYThis iron fist man was the son of colonial chief Musa Nyandusi.  Having a very close relationship with his father, Nyachae, who was forbidden from playing football when he was young, was forced into marrying a 16 year old when he was only 22.The Standard reports that his father further directed him to marry again after the first wife did not get a son.After three years, Nyachae had married three women. He had more than 20 children.In April 2018, Nyachae tripped and fell at his home in Loresho . While at the facility, he complained of severe chest pains and was immediately taken to the ICU for closer monitoring."
9,Mt Kenya Jumia customers to benefit from reduced delivery fees,"Jumia customers will benefit from reduced delivery fee following the launch of City Partner Program in Mt Kenya region.The new program is aimed at empowering local businesses by boosting their revenue and providing better services to the consumers.Entrepreneurs will earn between up to Sh100,000 per month by becoming Jumia pick-up stations (with their existing shops) and by helping customers in the area to place orders. ""This is a great way for businesses to earn additional income and serve as Jumia representatives in the Mt.Kenya region. City Captains will also be responsible for recruiting & training young people in their towns - so that they can earn income via our JForce Program,” Jumia Kenya CEO Sam Chappatte said. “We continue to see unserved customers in towns outside of Nairobi. We believe our large range of products and competitive pricing is even more relevant for customers in these towns. By expanding our pick-up station network and working with local entrepreneurs, we hope to grow the penetration of e-commerce upcountry.”Customers in Kabati, Kenol Town, Sagana, Karatina, Nyeri, Nanyuki, Meru, Chuka, Embu, Mwea and Kutus will have access to over 10 million products on Jumia at 50 per cent lower delivery fees than previously.They will also be able to interact with the city partners via their local pick up stations, to ask questions about the e-commerce ordering process and for help placing orders. “This partnership with Jumia is a game-changer for businesses in Nyeri county and especially for me as a woman because this will help me grow my sales knowledge too.""I have enough space in my shop to accommodate Jumia orders as more Jumia customers will now collect their orders from my shop at a cheaper delivery fee,"" Loise Njeri, Owner of Belosi Cyber Café in Nyeri county said.She believes that this will boost her revenue, as Jumia customers eventually become his customers too.“This partnership with Jumia is a great boost for me as a shop owner in Kabati. Jumia is a big company and with that comes bigger expectations as more Jumia customers will now collect their orders from my shop at a cheaper delivery fee,"" George Ngugi, Manager of Neema Salon in Kabati, Muranga county said.He believes that this will further expand his knowledge about online sales and boost his revenue, and later he may employ 1-2 people to help him run the business.  Jumia’s strategy is to expand its countrywide pick-up station network over the course of the year, with over 100 more pick-up stations expected to go live every month."
