,Title,Text,Status
0,Does wearing masks for a long period of time reduce your oxygen uptake?,"Just like wearing a shoe when one leaves their house, Kenyans have been left with no option but to put on a face mask as the coronavirus continues to surge.Since the first case was reported in March, the government has laid out protocols aimed at reducing the infection rate, among them washing and sanitising hands, maintaining social distance and wearing a face mask.Since then, there has been various misinformation on the effectiveness of these masks with the latest claim being it reduces the uptake of oxygen to the body.  A viral WhatsApp message claiming that wearing a mask for a long time interferes with your breathing and oxygen levels is partly true.The message while referencing an article by Dr. Faheem Younus from the University of Maryland https://archive.vn/jIctm spelled out 17 measures to help people accept that the disease will be around for a while.The ministry of health approved three types of masks which include the N95 respirators, surgical masks and reusable cloth masks.The three were tested for fluid resistance and filtration efficiency.N95 masks are more tightly fitted, making them more likely to inhibit the breathing of the wearer if worn for a prolonged period of time. These are said to filter up to 95 per cent of air particlesSurgical masks, which are disposable, are looser fitting, making it highly unlikely that wearers would see significant depletions in their oxygen intake. They have 90 per cent effectiveness.Cloth masks are porous, allowing air to flow in and out and permitting normal respiratory functions while limiting the release of respiratory droplets. They have between 10 -20 per cent effectiveness.The Star’s fact-check desk contacted an immunologist, Dr Kaikai Kalabusia, who said this depends on the nature of the mask one is wearing.According to the doctor, the government’s recommendation is the N95 mask but due to hard economic times, not many Kenyans can afford this type.As a result, many entrepreneurs have invented imitations of the surgical masks. As per the Kebs regulations, the masks are not authentic and up to the task.   “With pre-existing conditions like asthma and obesity, one will experience difficulty in breathing due to low oxygen levels,” he said.He said there is however no scientific study to really confirm the theory because with the current situation, that has not been the area of focus for many researchers.“In a real sense, a good surgical mask will cost you up to Sh3,500 per pack and not Sh50 or Sh100. With such low-quality masks one is likely to experience expiration or respiration [problem] hence seizures,” he said.The doctor said one does not need to wear a mask while in the house or a less congested office.He said it is common for surgeons and other scientists or healthcare workers to wear the N95 respirators for prolonged periods of time.The ministry’s Centre for Disease Control or the World Health Organization has not issued any warning suggesting the use of these face masks would result in dangerous oxygen level depletion within the general public.Research indicates that reduced oxygen intake level may lead to hypoxemia, a condition where there is low arterial oxygen supply, or hypoxia a condition where the supply of oxygen in tissue is insufficient. Mayo Clinic indicates the amount of oxygen circulating in your blood, ranges from 95-100, with anything below 90% considered low. A fact check done by usatoday.com showed that this misinformation may arise from the feeling of lack of air due to mechanical obstruction depending on the type of mouthpiece one is using. “But the feeling of obstruction is because we are not used to using the mouth mask. But as such it will not cause us any kind of hypoxia,"" Dr. Daniel Pahua Díaz, an academic from the Department of Public Health at the National Autonomous University of Mexico medical school, told Animal Político earlier in May.Based on other fact-checks, the Star rates this claim as PARTLY TRUE since there is no evidence to support it.",PARTLY TRUE
1,"Four Std 8 pupils, two teachers have not succumbed to Covid-19","Information circulating on social media that four class eight pupils have died of Covid-19 in Kisumu is false.The message in a viral video by Standard Media's Spice FM, claimed that a parent identified as Donald had shared his heartbreaking experience after his 12-year old son died of the disease along with his three cube mates.Without naming a particular school or location, the presenter in the show said the incident happened in Kisumu.The presenter said the unnamed pupil reported back to school after the Ministry of Education reopened schools and was a very active footballer before the tragedy struck two weeks later.""Boy goes back to school in Kisumu ... is a very active child... footballer...developed a slight cold and was just sneezing once in a while. Following morning goes to shower with his cube mates.... he falls down and he can’t breath.... the other boys come to his rescue and call two teachers...”“He was rushed to the hospital but unfortunately he passed away after testing positive of Covid-19. It gets sad because the three boys who came to his rescue have also died and the two teachers are in ICU....,” the presenter said in his narration.The story was later published by Kenya ReportThe presenter went on to say that Donald, a divorcee and residing in Kericho County did not have a chance to bury his son because authorities would not allow the body to be transported.This sparked a public outcry with some members of the public asking why the Education CS was risking the lives of many learners by not ordering the closure of schools.The Star’s fact-check got interested on why the father was denied a chance to bury his son at their home yet the government relaxed protocols related to the burial of Covid-19 victims.We reached out to the presenter Erick Latif of the show famously known as 'The SituationRoom' who said they had established that the said person had duped them.According to him, the said parent narrated his ordeal to them and in fact, they had agreed that he goes live on air to share the story.""He switched off his phone when we were about to go live. Out of sympathy, I decided to share his ordeal only to realise later that he was a spinner,"" Latif said.The Ministry of Education through the County Director of Education Kisumu County, Isaac Atebe, in his response, termed the claims as false.Atebe said they had been directed by the ministry to conduct a survey in all public and private boarding schools to establish the claim and to their knowledge, there were no such reports made.""In addition, the county director of public health Kisumu and the County director TSC have confirmed that no pupil was admitted nor any teacher currently in ICU over Covid-19 cases as at November 25,"" Atebe said.The Star thus therefore concludes that the matter is misleading and FALSE.",FALSE
2,PARTLY TRUE: Safaricom calling for registration of next of kin,"A viral WhatsApp message claiming that Safaricom has called on its subscribers to register details of their next of kin is partly true.The message advised the subscribers to dial a certain number to register upon which they would be guided on the process.“Team members, have you registered your M-PESA next of Kin details. To register dial *234*5# then select 6. You will be guided. Do you know SAFARICOM has more than Sh1.7 billion with nobody to claim for lack of next of kin??? . Ensure you know id number and Safaricom number of your next of kin. NOW YOU KNOW!!!,” read the message.We reached out to the communication company to ascertain whether this claim was true which they confirmed to be partly true.Through their PR Company Ogilvy, Safaricom said it was true that it had asked its subscribers to register details of their next of kin but the purported Sh1.7 billion unclaimed money was not true.“We have been informed subscribers once dialling the provided numbers will be guided on how to access the next of kin information through their Bonga account. This is how it was initially designed because it's not linked to M-Pesa,” Susan Wanjiku head of Communication at Ogilvy said.“Safaricom however contacts any customers with unclaimed assets every year before submitting unclaimed funds. So the claim process is true but the unclaimed amount is not factual”.Next of kin is a term used to describe a person's closest living blood relative whom Safaricom may contact in case of any eventuality.Legal representative means a person who is authorized to deal with the estate of a deceased person whether through appointment under a will or by right and thereafter application to a court as per the law.Safaricom requires the claimant to visit any of its retail centers and provide certain documents for inspection and approval before any funds can be released.In the process, the claimant will be required to produce their ID, deceased person’s death certificate, statutory declaration (Affidavit); and letter from provincial administration or confirmation of Grant of Letters of Administration (interstate) or Confirmation of Grant of Probate.Upon receiving notification of the death of a subscriber the M-PESA account is frozen to prevent further dealings and to protect the estate of the deceased.Once all the requisite documents have been provided, funds will be transferred into the beneficiaries entitled to the M-PESA account balances once all documents are found to be in order.The beneficiary must also provide a registered M-PESA account to receive the funds as Safaricom does not pay out money in any other form.",FACT CHECKER
3,Raila's doctors haven't advised him to take a break from work,"A Facebook post claiming that ODM leader Raila Odinga has been asked by his doctors to take a year’s rest is FALSE.The post, which has also been published here by another Facebook user, adds that the doctors warned if Raila does not rest from active duty, he risks suffering “permanent brain and throat damage.”However, Raila's spokesman, Dennis Onyango, has dismissed the claim, terming it propaganda.Speaking to PesaCheck on the phone, Onyango said the former PM is well and continues with his duties as the African Union’s (AU) High Representative for Infrastructure Development in Africa and as the Orange Democratic Movement (ODM) party leader.Raila travelled to the Democratic Republic of Congo on an official assignment on November 19, where he held a meeting with President Felix Tshisekedi and other government officials, the spokesman added.He also tweeted about his DRC visit on November 20th and 21st.The visit was to review progress on the Grand Inga Hydropower Project on November 20, two days after the post with the claim was published.PesaCheck has looked into a Facebook post claiming that ODM leader Raila Odinga has been advised by his doctors to take a one year break from active duty and finds it to be FALSE.",FALSE
4,Photo claiming journalist shot dead during Bobi Wine arrest not true,"A photo that has been circulating on social media claiming that a Ugandan journalist was shot dead by police is false.The photo, which is also embedded in a Facebook  Post and Twitter Post, indicates that the journalist died after being roughed up by police while covering National Unity Platform presidential candidate, Robert Kyagulanyi, famously known as Bobi Wine.The photo was also widely shared on WhatsApp platforms. The Star’s fact-check desk, using google search tools, established that the photo was taken in 2015.According to Human Rights Network for Journalists Uganda- HRJNU, the journalist is identified as Isaac Kugonza.The organisation said the journalist then working with Delta TV, a local television channel, was attacked while covering a scuffle surrounding efforts to arrest the Lord Mayor of Kampala City, Erias Lukwago, in November 16, 2015.Police had fired teargas, rubber and live bullets to disperse Lukwago’s supporters who were opposed to efforts by police to block him from reaching the electoral commission headquarters in Kampala to return his mayoral nomination papers. In an online Article, the journalist was shot by police on the head and rushed to Mulago National Referral hospital in critical condition.The article said blood was oozing from his head and spate in the mouth with his editor Prossy Margaret Kisitu saying that his skull had been cracked.He was the third journalist to be shot while covering political events in less than two months. But Police Spokesperson Fred Enanga while dismissing the claims said the journalist was hit with a stone hurled at the police by rowdy protesters and not by a bullet.We further established that the photo of a camera stained with blood was taken by a Reuters photojournalist in 2017 after an explosion in Mogadishu Somalia. The star, therefore, concludes the claims that the incident happened recently during the arrest of Bobi Wine is FALSE.",FALSE
5,Image of Ruto with a panga as he addresses crowd is altered,"A photo shared on Facebook appearing to show Deputy President William Ruto holding a panga is ALTERED.In the photo, the deputy president appears to be holding a panga in his right hand and a microphone on the left as a huge crowd throngs his motorcade. The text on the post says, “Ruto has been staging attacks to attract sympathy.”However, a Google reverse image search and an online search reveals that the original photo, which was first seen online in October 2020, shows Ruto addressing a crowd and gesturing with his right hand. The open palm has no panga. The only item he is holding is the microphone in his left hand.The image was captured when Deputy President William Ruto addressed residents of Githurai in Kiambu county, on his way to Nairobi after attending a church service in Murang’a on October 5.PesaCheck has looked into a photo shared on Facebook claiming to show Deputy President William Ruto holding a panga and finds it to be ALTERED.",ALTERED
6,President Trump did not refer to Republicans as 'dumbest' voters,"A magazine photo claiming that US President Donald Trump referred to Republican voters as ‘dumbest voters’ is false.The photo- that has gone viral on social media platforms quotes the Peoples Magazine in 1998, where it is alleged Trump said if he were to dip his toes in politics, he would use the Republican ticket.“If I were to run, I’d run as a Republican. They’re the dumbest group of voters in the country. They believe anything on Fox News. I could lie and they’d still eat it up. I bet my numbers would be terrific,” read the message purporting to be a quote from Trump. Several Twitter users including  Azeem Butt ValryLeBourg and MuthuiMkenya in reference to the ongoing US election indicated that one does not have to be smart if their followers are stupid.While the quote has been debunked several times since it apparently surfaced in 2015, users have recently been resharing it on social media especially after a Democratic Candidate Joe Biden was projected as the President-Elect for the United States.The Star’s fact-check desk established that the meme was first debunked by SNOPES in 2015, followed by other independent debunks.The magazine’s spokesperson Julie Farin had told Factcheck.org, “People looked into this exhaustively when it first surfaced back in Oct. (2015). We combed through every Trump story in our archive. We couldn’t find anything remotely like this quote–and no interview at all in 1998”.According to the fact-check, in 1998, Trump was cited frequently in the pages of People, but at the time, most of the stories were about his pending divorce from Marla Maples and appearances at various social and entertainment events.Other outlets including CNN, AP, REUTERS, The Journal.ie, Business Insider and FACTCHECK.ORG have published articles debunking the claim.FACTCHECK.ORG  in their article said People’s magazine archive showed Trump did appear in the publication in the 1990s, but the coverage was mostly centered on his personal relationships. The article indicated there were several stories in the late 1990s about Trump’s desire with a presidential run. (This became a running theme for Trump, who claimed he was considering a run for president in 1988, 2000, 2004 and 2012).Another fact-check done by REUTERS  indicates that on September 2, 1987, shortly after releasing a full-page newspaper ad criticizing U.S. foreign policy, Trump identified himself as a Republican during an interview with CNN’S Larry King.Trump told King that he had no interest in running for president.In December 1987, People published a profile on Donald Trump titled “Too Darn Rich”. The article quoted him saying he was too busy to run for president ( here ).Most iterations of the meme feature a photo of Trump during an interview on The Oprah Winfrey Show in 1988 when he said he would probably not run for president but wouldn’t rule it out.While other articles and interviews from the late 1980s and 1990s show Trump did publicly speak about his political affiliations and the possibility of running for office ( here ), there is no evidence of him ever saying the alleged quote or making any similar statement.According to SNOPES, while the Fox News Channel was rolled out across major American news markets between 1996 and 2000 (and thus isn’t entirely chronologically out of place in a circa-1998 quote), the network wasn’t nearly as prominent or widely watched until the 2000 election of George W. Bush, the September 11th attacks in 2001, and the start of the Iraq War in 2003.Before that time, although Fox News was making its way into living rooms across the United States, it was not exceptionally well-known (or particularly regarded as a right-leaning outlet) in 1998.The Star’s verdict is that the meme with the quote attributed to President Trump is bogus and false. This story was produced by The Star in partnership with Code for Africa’s iLAB data journalism programme, with support from Deutsche Welle Akademie.",FALSE
7,Poster advertising youth meeting 'hosted' by Ruto is fabricated,"A Facebook post promoting a youth consultative meeting on the Building Bridges Initiative (BBI) to be hosted by Kenya’s deputy president, William Ruto, is Fake.The post was also shared by other Facebook pages, including Kenya Daima and Bigwig Kenya News.The meeting is set to bring together youth leaders from Nairobi’s Mathare, Kibera and Dagoretti areas, but there is no indication on the poster when this will take place.Attendees are promised an allowance of Sh20,000 and anyone interested is asked to contact the Member of Parliament (MP) for Lang’ata constituency, Nixon Korir and his Dagoretti South counterpart, John Kiarie, through numbers provided. The post above the flier appears to throw a jibe at the DP for his position over the BBI report, saying the ‘train’ has already left for a progressive future of Kenya.“The main agenda for some individuals is to derail Kenya from prosperity and a more united Kenya,” reads the post.During the recent launch of the BBI report at the Bomas of Kenya, Dr Ruto faulted a number of the proposals contained in it and asked proponents of the report to persuade him, and millions of Kenyans he claimed to represent, otherwise.“We must strive progressively to have a negotiated constitutional settlement or to arrive at a place where we are all working together building consensus,” he said at the event.The DP took issue with the proposal to have an ombudsman appointed by the executive to the judiciary, which he termed as a derogation from the independence of the judiciary.The Facebook group where the poster was shared — Every Hustle Matters — describes itself as the official team organising and campaigning for Dr Ruto’s presidential bid.However, responding to a query by PesaCheck, Emmanuel Talam, the director of communication in the deputy president’s office, disowned the poster and termed the claim as “nonsense”.Lang’ata MP Mr Nixon Korir, whose contact is listed in the poster in question, also dismissed the poster as a fabrication. PesaCheck has looked into a Facebook post with a poster promoting a youth consultative meeting on the Building Bridges Initiative (BBI) to be hosted by deputy president, William Ruto, and finds it to be fake.",FACT CHECK
8,Photo does not show Raila Odinga being chased away by a mob,"A photo shared on Facebook claiming to show ODM leader Raila Odinga being chased away by an angry mob on October 30, 2020, is a HOAX.The caption says the mob demanded that Raila should champion inclusivity in the Building Bridges Initiative. It, however, doesn’t mention the location of the incident.The BBI report was launched at the Bomas of Kenya on October 26. The initiative — the brainchild of President Uhuru Kenyatta and Raila was conceived in March 2018 in the famous “Handshake” agreement that ended months of post-election demonstrations and confrontations. Dozens were killed by the police.A reverse image search shows that the photo was published on November 17, 2017, when Raila returned to Kenya after boycotting the rerun of the presidential elections held that year. The photo is credited to Jeff Angote of the Nation Media Group.The photo in the post doesn’t show Raila being chased away from a rally by an angry mob on October 30.PesaCheck has looked into a photo shared on Facebook claiming to show ODM leader Raila Odinga being chased away by an angry mob on October 30, 2020, and finds it to be a HOAX.",HOAX
9,Advert for free courses from the NYS is not legitimate,"A poster shared on Facebook claiming that the National Youth Service (NYS) is offering free courses for servicemen and women is FAKE.The poster, which appears to have been printed on page 10 of an unidentified publication, lists a number of certificate and diploma courses that interested applicants can pursue with the NYS for free.The certificate courses include plumbing, electrical installations, carpentry and joinery, masonry, driving, building and construction. The diploma courses listed are computer science, engineering skills, accounting technicians and forestry management among others.The poster says applicants must be Kenyan citizens, must undergo a COVID-19 test and be ready to undertake their prefered course in any part of Kenya.Applicants for the certificate courses are expected to have attained grades between E to D+, the post adds, while those applying for the diploma course much have scored C- to C+. While this grading system is similar to the Kenya Certificate of Secondary Education (KCSE) the post does not say in which examination applicants must attain the grades.Applications are to be sent by email to a yahoo webmail account by November 2, 2020, indicating the course the applicant wishes to undertake, their county and sub-county of residence as well as their telephone number.The post also includes what appears to be a photo of the post’s author and a message that encourages the public to apply for the courses.However, neither the poster nor its contents are published on the NYS website, as is the norm with all recruitment of youth to join the voluntary program for Kenyan citizens, according to the guidelines under the Frequently Asked Questions (FAQ) tab.The FAQs section highlights the fact that recruitment to the NYS is carried out twice a year and the minimum academic qualification is a KCSE grade D plain. There is no provision for an E grade as claimed in the poster.The NYS website also says that during recruitment exercises, applicants are normally asked to present themselves in their areas when announced, rather than email their applications as claimed by the poster in question.On October 28, 2020, the NYS tweeted a screenshot of the poster, terming it fake and labelling it a scam.PesaCheck has looked into the poster shared on Facebook and claiming that the National Youth Service is offering free courses for servicemen and women and finds it to be FAKE.",FAKE
